Node,Demand,Pattern,Category
144,0.000317,Domestic,
144,0.000602,Domestic,
144,0.000951,Domestic,
144,0.001142,Domestic,
144,0.001173,Domestic,
144,0.0013,Domestic,
144,0.001364,Domestic,
144,0.00149,Domestic,
144,0.00149,Domestic,
144,0.001934,Domestic,
144,0.002125,Domestic,
144,0.002251,Domestic,
144,0.002568,Domestic,
144,0.0026,Domestic,
144,0.002632,Domestic,
144,0.002759,Domestic,
144,0.002949,Domestic,
144,0.002949,Domestic,
144,0.003647,Domestic,
144,0.003964,Domestic,
144,0.004091,Domestic,
145,9.50E-05,Domestic,
145,0.001268,Domestic,
145,0.001364,Domestic,
145,0.001871,Domestic,
145,0.002156,Domestic,
145,0.002378,Domestic,
145,0.002537,Domestic,
145,0.002917,Domestic,
145,0.003773,Domestic,
145,0.004059,Domestic,
145,0.004154,Domestic,
145,0.004598,Domestic,
145,0.033517,Domestic,
146,3.20E-05,Domestic,
146,3.20E-05,Domestic,
146,3.20E-05,Domestic,
146,9.50E-05,Domestic,
146,0.000222,Domestic,
146,0.000381,Domestic,
146,0.000602,Domestic,
146,0.000666,Domestic,
146,0.000666,Domestic,
146,0.000793,Domestic,
146,0.000793,Domestic,
146,0.000888,Domestic,
146,0.000888,Domestic,
146,0.00092,Domestic,
146,0.000951,Domestic,
146,0.001142,Domestic,
146,0.001173,Domestic,
146,0.001173,Domestic,
146,0.001268,Domestic,
146,0.001617,Domestic,
146,0.001744,Domestic,
146,0.001839,Domestic,
146,0.001871,Domestic,
146,0.001903,Domestic,
146,0.002029,Domestic,
146,0.002093,Domestic,
146,0.00222,Domestic,
146,0.002251,Domestic,
146,0.002537,Domestic,
146,0.002568,Domestic,
146,0.002886,Domestic,
146,0.002886,Domestic,
146,0.003678,Domestic,
146,0.003678,Domestic,
146,0.004091,Domestic,
146,0.004281,Domestic,
146,0.004947,Domestic,
146,0.004947,Domestic,
146,0.005074,Domestic,
146,0.005581,Domestic,
146,0.006976,Domestic,
147,3.20E-05,Domestic,
147,0.000159,Domestic,
147,0.000159,Domestic,
147,0.000222,Domestic,
147,0.000254,Domestic,
147,0.000349,Domestic,
147,0.000412,Domestic,
